P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:25:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:25:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:26:02 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:26:06 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E00.00 Cover sheet.dwg,E00.00,12/22/2025 9:47:35 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E01.00 Power.dwg,E01.00,12/22/2025 9:47:40 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E02.00 Lighting.dwg,E02.00,12/22/2025 9:47:44 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E02.00 Lighting.dwg,E02.01,12/22/2025 9:47:45 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E04.00 Specification.dwg,E04.00,12/22/2025 9:47:48 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E05.00 Schedules.dwg,E05.00,12/22/2025 9:47:57 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E06.00 LTG Details.dwg,E06.00,12/22/2025 9:48:00 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/22/2025 9:48:03 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E08.00 Energy Compliance Forms.dwg,E08.00,12/22/2025 9:48:10 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
C:\Users\JacobH\Documents\Local Projects Temp\250654 BofA - El Camino Ctr., 23347 Mulholland Dr., Woodland Hills, CA\Electrical\E00.00 Cover sheet.dwg,E00.00,12/22/2025 9:50:19 AM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
